State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.08710	3.93103	3.87738	3.87251	3.73594	3.70180	3.52622	3.53598	3.36528	3.16043	3.03850	3.19457	3.45307	3.52135	3.50184	3.58475	3.75545	3.63840	3.55061	3.56037	3.57987
2	4.90049	5.16046	5.05647	4.69251	4.35454	4.09457	4.06857	3.67861	3.49663	3.34065	3.13267	2.72971	2.63872	2.52174	2.63872	2.79471	2.80771	3.01568	2.65172	2.40475	2.37875
3	0.68420	0.65125	0.62379	0.61830	0.62929	0.62270	0.60512	0.60073	0.60842	0.61281	0.59963	0.59195	0.56120	0.53154	0.52276	0.50079	0.49860	0.50628	0.52935	0.53594	0.54692
4	2.12343	2.13383	2.14192	2.15347	2.15694	2.17052	2.18612	2.21009	2.24158	2.28664	2.33575	2.36579	2.38716	2.39959	2.41778	2.42616	2.42327	2.42992	2.43425	2.42385	2.41663
5	6.35837	6.33716	6.34858	6.27681	6.27844	6.18383	6.12185	6.00603	5.78093	5.52157	5.16597	4.85931	4.62115	4.39605	4.16116	3.94421	3.76478	3.57883	3.44996	3.37003	3.25259
6	1.16462	1.16702	1.18018	1.16821	1.16582	1.17779	1.18617	1.19096	1.20293	1.18138	1.18617	1.19455	1.20652	1.19933	1.21609	1.22208	1.23285	1.24123	1.23165	1.24362	1.24841
7	0.58515	0.58599	0.58442	0.58474	0.58594	0.58719	0.58742	0.58816	0.59043	0.59755	0.60698	0.60864	0.61031	0.61567	0.61849	0.62358	0.62866	0.63190	0.63740	0.63976	0.64424
8	0.58318	0.58921	0.62943	0.66563	0.68976	0.64954	0.72797	0.78025	0.76819	0.71188	0.53492	0.57111	0.62742	0.62742	0.65155	0.65759	0.57916	0.58318	0.57313	0.61133	0.61133
9	2.66309	2.62858	2.68504	2.74464	2.76973	2.86384	2.88893	2.85129	2.95794	2.86697	2.90461	3.06459	3.03322	3.12418	3.14614	3.06459	3.04577	3.11164	3.08968	3.13673	3.12105
10	4.22692	4.25954	4.23158	4.25022	4.18964	4.17566	4.07779	4.01255	3.93798	3.81681	3.67234	3.56981	3.52321	3.42068	3.37408	3.38806	3.44399	3.40670	3.36010	3.36476	3.31350
