State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.55885	5.26055	6.39703	8.43323	12.00197	17.99434	26.69017	37.77951	48.67082	55.23144	59.94957	60.92678	54.75790	44.31860	31.72687	20.74946	12.68644	8.29978	5.79005	4.19724	3.24587
2	7.23961	8.74260	11.27819	14.24975	17.20985	19.02262	18.36864	14.90373	10.15381	6.92983	6.63153	13.71051	27.89143	46.84521	63.58465	66.01698	57.46942	44.60793	33.10027	24.63303	18.66695
3	1.91835	1.85243	1.68182	1.48698	1.15837	0.86369	0.63105	0.52054	0.48661	0.46820	0.45656	0.46432	0.48177	0.52927	0.73380	1.47826	2.66087	3.87256	4.80992	5.41576	5.74147
4	1.45661	1.40537	1.34978	1.25647	1.15524	1.02470	0.88294	0.73124	0.61599	0.54409	0.50559	0.49871	0.51987	0.57138	0.68152	0.86535	1.08972	1.26947	1.43265	1.55350	1.65574
5	1.05823	0.98048	0.90129	0.80051	0.72564	0.67669	0.64789	0.65797	0.65653	0.70549	0.73572	0.74292	0.77315	0.78611	0.82499	0.88258	0.99920	1.15757	1.32027	1.50600	1.75651
6	0.82828	0.81032	0.80081	0.79130	0.77017	0.74376	0.74165	0.71629	0.70678	0.68988	0.67932	0.67615	0.68777	0.68988	0.70784	0.72686	0.72897	0.71946	0.73425	0.74799	0.75327
7	0.73070	0.71576	0.69650	0.67034	0.63557	0.58872	0.53069	0.46335	0.39671	0.35529	0.32864	0.32533	0.33974	0.36072	0.38585	0.40932	0.43201	0.45050	0.46270	0.47527	0.48314
8	1.02594	1.02949	1.10581	1.27798	1.48921	1.82290	2.11755	2.38202	2.45834	2.27375	2.03767	1.73060	1.37028	1.03659	0.87861	0.74372	0.64254	0.56622	0.59639	0.55734	0.60172
9	4.00621	4.57932	5.21610	5.83351	6.60596	6.86067	6.78315	6.53397	6.30971	6.77208	6.47306	4.54056	4.10588	4.46580	5.10536	6.01070	6.09653	5.70062	5.02507	4.58762	4.05882
10	7.21908	8.05411	8.76162	9.72828	10.44813	11.24202	11.81379	11.99067	12.20457	12.17166	12.07294	12.58712	12.87917	13.10541	13.19179	13.04782	12.65705	11.90429	10.99933	9.92572	9.09481
