State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.71287	63.69480	8.87336	1.43895	3.03882	59.94711	22.62940	0.35175
2	0.26747	10.81336	3.83576	2.04088	3.13300	6.63173	21.31284	0.24327
3	3.16583	0.08264	0.68422	2.26367	0.59970	0.45658	1.62887	0.31055
4	12.03619	0.57470	2.24234	2.02980	2.33570	0.50561	1.02285	0.42631
5	2.13146	1.13975	6.87560	2.28889	5.16325	0.73574	0.91704	0.20772
6	2.90475	0.47007	1.00895	0.59559	1.18629	0.67934	0.78859	0.93508
7	75.19804	0.13187	0.50584	0.75249	0.60704	0.32865	0.52834	1.16017
8	1.72893	0.27798	0.77300	0.65531	0.53497	2.03774	1.44910	1.23312
9	1.10842	5.55877	2.67694	1.44414	2.90492	6.47326	5.35005	0.46856
10	0.74604	32.39721	4.77969	1.20960	3.67272	12.07331	11.11029	0.69283
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
