State (Emission order)	H3K27me3	H3K4me1	H3K27ac	H3K9ac	H3K4me3	H4K20me1	H3K79me2	H3K36me3	H3K9me3	H2AFZ
1	0.03345225772136558	0.1279299169140468	0.27702216080998987	0.5754020652663707	0.9198435155449968	0.014176363697852521	0.00913889742631132	3.7732629390478765E-4	0.0018430408543165448	0.2925863479360993
2	0.07686130669228469	0.18752028552990982	0.28092384133713655	0.5037595845673318	0.8511722560941287	0.20386916852288717	0.8854946103392354	0.11564553404828926	0.08866270617989822	0.13933627844775767
3	0.0018268898279907913	0.038405899272038725	0.01758290018838792	0.0038694428924521246	0.003317084951899551	0.07505713896235	0.7193232611320622	0.03016094097951925	0.013662752225285485	9.144515264600915E-4
4	0.002450271851481599	0.006965980665328168	0.006975198182927106	0.0020906777337608767	1.332263045429594E-4	0.01783515995404709	0.020228394484350893	0.0141290870073671	0.0058105597400899475	2.7945508378035626E-4
5	0.0017906808648900513	0.006919955716784819	0.018535798673714514	0.005069529657336887	4.8563944018764827E-4	0.054883308396734665	0.023725741494138874	0.4091423042443825	0.009955433922609495	1.1191267449573803E-4
6	0.011236012842319648	0.0017825626100475222	0.0028567661314135516	0.001802042703401834	8.368684155118111E-4	0.0032842898385447173	0.0021756947590315314	0.013037065712154901	0.28440250356587915	0.0023371593016550713
7	0.002025556248683512	0.002100784453915769	0.0020258179732452843	6.917376351361658E-4	9.65452552823215E-5	0.002653696317930188	3.8867562417228054E-4	5.185064705707081E-4	0.007133085723648255	0.0069484282220948195
8	0.006831211759794917	0.08406531672413287	0.035430350614321725	0.012004662277324132	0.007533877760027096	0.008828854212360992	0.0016588006035631766	0.003311921524748389	0.022173299597589083	0.486493682147845
9	0.020023545489383524	0.3124761822616898	0.07542599875937296	0.0341723673006715	0.04911038518066325	0.0386579429882712	0.013189269578634946	0.004346731967244883	0.005555524297477988	0.039744629849054754
10	0.7768617803981988	0.1511625598940541	0.0014313543532437577	0.023194320025796508	0.2488288114679248	0.0713667057599351	0.0020497401196275327	0.001075407748716972	0.009538897866609204	0.054234845009059264
